name,model,formula,threads,time_s,memory_MB,search_strategy
gg6_circular6,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p1_gurantee_omniscient_before_10_steps_FALSE.json,8,3.7477588895708323,0.0,dhs
gg6_circular6,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p1_gurantee_omniscient_before_10_steps_FALSE.json,16,1.518694857135415,0.0,dhs
gg6_circular6,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p1_gurantee_omniscient_before_10_steps_FALSE.json,32,1.1046823021024466,0.0,dhs
gg6_circular7,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p23456_eventually_omniscient_without_p1_TRUE.json,1,0.03251316770911217,0.0,dhs
gg6_circular7,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p23456_eventually_omniscient_without_p1_TRUE.json,2,0.03159693069756031,0.0,dhs
gg6_circular7,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p23456_eventually_omniscient_without_p1_TRUE.json,4,0.03193105757236481,0.0,dhs
gg6_circular7,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p23456_eventually_omniscient_without_p1_TRUE.json,8,0.031164713203907013,0.0,dhs
gg6_circular7,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p23456_eventually_omniscient_without_p1_TRUE.json,16,0.03211747854948044,0.0,dhs
gg6_circular7,gossipping_girls/gossipping_girls_circular_6p.lcgs,gossipping_girls/p23456_eventually_omniscient_without_p1_TRUE.json,32,0.03309347666800022,0.0,dhs
gg6_total1,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_ensure_that_p123456_gets_omniscient_before_10_steps_TRUE.json,1,0.057049259543418884,0.0,dhs
gg6_total1,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_ensure_that_p123456_gets_omniscient_before_10_steps_TRUE.json,2,0.058582503348588943,0.0,dhs
gg6_total1,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_ensure_that_p123456_gets_omniscient_before_10_steps_TRUE.json,4,0.057788336649537086,0.0,dhs
gg6_total1,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_ensure_that_p123456_gets_omniscient_before_10_steps_TRUE.json,8,0.05636553838849068,0.0,dhs
gg6_total1,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_ensure_that_p123456_gets_omniscient_before_10_steps_TRUE.json,16,0.057469308376312256,0.0,dhs
gg6_total1,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_ensure_that_p123456_gets_omniscient_before_10_steps_TRUE.json,32,0.05650760605931282,0.0,dhs
gg6_total2,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_ensure_that_only_p1_gets_omniscient_before_10_steps_TRUE.json,1,0.057054780423641205,0.0,dhs
gg6_total2,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_ensure_that_only_p1_gets_omniscient_before_10_steps_TRUE.json,2,0.05800663307309151,0.0,dhs
gg6_total2,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_ensure_that_only_p1_gets_omniscient_before_10_steps_TRUE.json,4,0.05456075817346573,0.0,dhs
gg6_total2,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_ensure_that_only_p1_gets_omniscient_before_10_steps_TRUE.json,8,0.055697256699204445,0.0,dhs
gg6_total2,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_ensure_that_only_p1_gets_omniscient_before_10_steps_TRUE.json,16,0.0566189531236887,0.0,dhs
gg6_total2,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_ensure_that_only_p1_gets_omniscient_before_10_steps_TRUE.json,32,0.058009859174489975,0.0,dhs
gg6_total3,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_ensure_p1_gets_omniscient_before_10_steps_TRUE.json,1,0.05644861236214638,0.0,dhs
gg6_total3,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_ensure_p1_gets_omniscient_before_10_steps_TRUE.json,2,0.056609056890010834,0.0,dhs
gg6_total3,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_ensure_p1_gets_omniscient_before_10_steps_TRUE.json,4,0.05848231539130211,0.0,dhs
gg6_total3,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_ensure_p1_gets_omniscient_before_10_steps_TRUE.json,8,0.0567195825278759,0.0,dhs
gg6_total3,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_ensure_p1_gets_omniscient_before_10_steps_TRUE.json,16,0.058215947821736336,0.0,dhs
gg6_total3,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_ensure_p1_gets_omniscient_before_10_steps_TRUE.json,32,0.057098470628261566,0.0,dhs
gg6_total4,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_omniscient_but_first_after_10_steps_TRUE.json,1,0.05813729949295521,0.0,dhs
gg6_total4,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_omniscient_but_first_after_10_steps_TRUE.json,2,0.057838600128889084,0.0,dhs
gg6_total4,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_omniscient_but_first_after_10_steps_TRUE.json,4,0.05638211965560913,0.0,dhs
gg6_total4,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_omniscient_but_first_after_10_steps_TRUE.json,8,0.055243467912077904,0.0,dhs
gg6_total4,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_omniscient_but_first_after_10_steps_TRUE.json,16,0.05620235204696655,0.0,dhs
gg6_total4,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/p123456_omniscient_but_first_after_10_steps_TRUE.json,32,0.05636029504239559,0.0,dhs
gg6_total5,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/eventually_10_steps_are_passed_TRUE.json,1,7200.0,-1.0,dhs
gg6_total5,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/eventually_10_steps_are_passed_TRUE.json,2,7200.0,-1.0,dhs
gg6_total5,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/eventually_10_steps_are_passed_TRUE.json,4,7200.0,-1.0,dhs
gg6_total5,gossipping_girls/gossipping_girls_total_network_6p.lcgs,gossipping_girls/eventually_10_steps_are_passed_TRUE.json,8,7200.0,-1.0,dhs
prismlike_rc5_1,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,1,5244.565068913624,45904.3125,dhs
prismlike_rc5_1,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,2,2648.815877282992,595.6015625,dhs
prismlike_rc5_1,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,4,1342.982587153092,1971.01953125,dhs
prismlike_rc5_1,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,8,703.7799935396761,13.75390625,dhs
prismlike_rc5_1,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,16,458.3874620422721,1684.30078125,dhs
prismlike_rc5_1,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,32,369.2750505860895,5206.01953125,dhs
prismlike_rc5_2,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/everyone_starts_home_TRUE.json,1,0.020204192027449608,0.0,dhs
prismlike_rc5_2,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/everyone_starts_home_TRUE.json,2,0.022691858932375908,0.0,dhs
prismlike_rc5_2,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/everyone_starts_home_TRUE.json,4,0.023369813337922096,0.0,dhs
prismlike_rc5_2,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/everyone_starts_home_TRUE.json,8,0.02525004930794239,0.0,dhs
prismlike_rc5_2,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/everyone_starts_home_TRUE.json,16,0.025699282065033913,0.0,dhs
prismlike_rc5_2,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/everyone_starts_home_TRUE.json,32,0.030707288533449173,0.0,dhs
prismlike_rc5_3,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,1,5479.844514137134,0.0,dhs
prismlike_rc5_3,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,2,2751.3639198150486,0.0,dhs
prismlike_rc5_3,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,4,1393.0237359814346,0.0,dhs
prismlike_rc5_3,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,8,777.7768179066479,0.0,dhs
prismlike_rc5_3,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,16,491.6020340062678,0.0,dhs
prismlike_rc5_3,robot_grid/prismlike_robot_grid_N5.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,32,397.6085060182959,4530.53125,dhs
prismlike_rc6_1,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,1,7200.0,-1.0,dhs
prismlike_rc6_1,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,2,7200.0,-1.0,dhs
prismlike_rc6_1,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,4,7047.568254208192,70752.39453125,dhs
prismlike_rc6_1,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,8,3674.972321787849,0.0,dhs
prismlike_rc6_1,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,16,1880.7352467309684,0.0,dhs
prismlike_rc6_1,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.json,32,1015.126440834254,0.0,dhs
prismlike_rc6_2,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/everyone_starts_home_TRUE.json,1,0.037918416783213615,0.0,dhs
prismlike_rc6_2,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/everyone_starts_home_TRUE.json,2,0.02258315309882164,0.0,dhs
prismlike_rc6_2,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/everyone_starts_home_TRUE.json,4,0.022741109132766724,0.0,dhs
prismlike_rc6_2,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/everyone_starts_home_TRUE.json,8,0.023227157071232796,0.0,dhs
prismlike_rc6_2,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/everyone_starts_home_TRUE.json,16,0.026445554569363594,0.0,dhs
prismlike_rc6_2,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/everyone_starts_home_TRUE.json,32,0.029702704399824142,0.0,dhs
prismlike_rc6_3,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,1,7200.0,-1.0,dhs
prismlike_rc6_3,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,2,7200.0,-1.0,dhs
prismlike_rc6_3,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,4,5149.4319430962205,0.0,dhs
prismlike_rc6_3,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,8,2610.50007208623,0.0,dhs
prismlike_rc6_3,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,16,1253.85703805089,0.0,dhs
prismlike_rc6_3,robot_grid/prismlike_robot_grid_N6.lcgs,robot_grid/exist_path_to_targets_with_no_crashes_TRUE.json,32,649.5222537834197,0.0,dhs
